from_unitid,to_unitid,rank,year
100760,101480,3,2016
100760,102368,4,2016
100760,100663,5,2016
100760,101569,6,2016
100760,101505,7,2016
100760,101240,8,2016
100760,100830,9,2016
100760,100858,10,2016
100760,100724,11,2016
100760,100751,12,2016
100760,102094,13,2016
100760,102067,14,2016
100760,102298,15,2016
100760,100706,16,2016
100760,101675,17,2016
100760,100654,18,2016
100760,102049,19,2016
100760,101897,20,2016
100760,102429,21,2016
100760,100937,22,2016
100760,101435,23,2016
100760,102030,24,2016
100760,101879,25,2016
101028,139366,1,2016
101028,139357,2,2016
101028,102368,3,2016
101028,251260,4,2016
101028,100858,5,2016
101028,100663,6,2016
101028,100751,7,2016
101028,101480,8,2016
101028,101435,9,2016
101028,100724,10,2016
101028,100830,11,2016
101028,102377,12,2016
101028,102094,13,2016
101028,442781,14,2016
101028,100760,15,2016
101028,101949,16,2016
101028,434584,17,2016
101028,102030,18,2016
101028,440402,19,2016
101028,101189,20,2016
101028,102429,21,2016
101028,106625,22,2016
101028,101286,23,2016
101028,168883,24,2016
101028,223506,25,2016
100636,128328,1,2016
100636,200697,2,2016
100636,187912,3,2016
100636,,4,2016
100636,175519,5,2016
100636,101648,6,2016
100636,119678,7,2016
100636,133553,8,2016
100636,219879,9,2016
100636,154129,10,2016
100636,175883,11,2016
100636,104160,12,2016
100636,204796,13,2016
100636,101949,14,2016
100636,244233,15,2016
100636,126207,16,2016
100636,127617,17,2016
100636,112385,18,2016
100636,175935,19,2016
100636,174473,20,2016
100636,225308,21,2016
100636,175652,22,2016
100636,162779,23,2016
100636,,24,2016
100636,403469,25,2016
101073,101675,1,2016
101073,100724,2,2016
101073,101301,3,2016
101073,100654,4,2016
101073,102298,5,2016
101073,102377,6,2016
101073,102270,7,2016
101073,102368,8,2016
101073,101569,9,2016
101073,138716,10,2016
101073,101949,11,2016
101073,100663,12,2016
101073,101480,13,2016
101073,140960,14,2016
101073,217721,15,2016
101073,100830,16,2016
101073,175856,17,2016
101073,159009,18,2016
101073,100706,19,2016
101073,102094,20,2016
101073,101912,21,2016
101073,102067,22,2016
101073,102234,23,2016
101073,132602,24,2016
101073,101189,25,2016
101143,101286,1,2016
101143,102368,2,2016
101143,101602,3,2016
101143,101435,4,2016
101143,100858,5,2016
101143,101949,6,2016
101143,101453,7,2016
101143,101709,8,2016
101143,101189,9,2016
101143,100830,10,2016
101143,102030,11,2016
101143,102094,12,2016
101143,100760,13,2016
101143,101541,14,2016
101143,100663,15,2016
101143,101693,16,2016
101143,100690,17,2016
101143,101569,18,2016
101143,434584,19,2016
101143,101462,20,2016
101143,102234,21,2016
101143,100751,22,2016
101143,102298,23,2016
101143,133021,24,2016
101143,101499,25,2016
101189,102368,1,2016
101189,100830,2,2016
101189,101435,3,2016
101189,100663,4,2016
101189,102049,5,2016
101189,101693,6,2016
101189,101480,7,2016
101189,100858,8,2016
101189,220215,9,2016
101189,102094,10,2016
101189,100724,11,2016
101189,100751,12,2016
101189,107044,13,2016
101189,100654,14,2016
101189,100937,15,2016
101189,101879,16,2016
101189,219976,17,2016
101189,101709,18,2016
101189,102234,19,2016
101189,100706,20,2016
101189,101587,21,2016
101189,102270,22,2016
101189,101675,23,2016
101189,101161,24,2016
101189,102377,25,2016
101240,101480,1,2016
101240,102076,2,2016
101240,100663,3,2016
101240,101897,4,2016
101240,101295,5,2016
101240,101505,6,2016
101240,251260,7,2016
101240,100751,8,2016
101240,101879,9,2016
101240,100858,10,2016
101240,100706,11,2016
101240,100760,12,2016
101240,100654,13,2016
101240,101709,14,2016
101240,100937,15,2016
101240,102094,16,2016
101240,100724,17,2016
101240,101569,18,2016
101240,102368,19,2016
101240,102067,20,2016
101240,102049,21,2016
101240,140988,22,2016
101240,101675,23,2016
101240,102429,24,2016
101240,101587,25,2016
101286,102368,1,2016
101286,101143,2,2016
101286,100858,3,2016
101286,101602,4,2016
101286,133021,5,2016
101286,101435,6,2016
101286,100830,7,2016
101286,100663,8,2016
101286,100751,9,2016
101286,100724,10,2016
101286,101949,11,2016
101286,101189,12,2016
101286,102094,13,2016
101286,100706,14,2016
101286,134343,15,2016
101286,101301,16,2016
101286,101295,17,2016
101286,102049,18,2016
101286,132408,19,2016
101286,251260,20,2016
101286,102429,21,2016
101286,101480,22,2016
101286,101879,23,2016
101286,101240,24,2016
101286,100760,25,2016
101295,102076,1,2016
101295,101879,2,2016
101295,100663,3,2016
101295,102429,4,2016
101295,101505,5,2016
101295,101480,6,2016
101295,100706,7,2016
101295,101514,8,2016
101295,101240,9,2016
101295,101736,10,2016
101295,100751,11,2016
101295,100858,12,2016
101295,102368,13,2016
101295,102067,14,2016
101295,101587,15,2016
101295,100812,16,2016
101295,101709,17,2016
101295,102049,18,2016
101295,102094,19,2016
101295,101569,20,2016
101295,100830,21,2016
101295,100937,22,2016
101295,101897,23,2016
101295,101602,24,2016
101295,101541,25,2016
101301,101073,1,2016
101301,102067,2,2016
101301,101569,3,2016
101301,100724,4,2016
101301,100830,5,2016
101301,102368,6,2016
101301,100663,7,2016
101301,101675,8,2016
101301,100654,9,2016
101301,100751,10,2016
101301,102030,11,2016
101301,101161,12,2016
101301,101949,13,2016
101301,101587,14,2016
101301,100706,15,2016
101301,101602,16,2016
101301,102298,17,2016
101301,101286,18,2016
101301,102377,19,2016
101301,100858,20,2016
101301,100760,21,2016
101301,102270,22,2016
101301,101505,23,2016
101301,100937,24,2016
101301,101709,25,2016
102313,251260,1,2016
102313,102368,2,2016
102313,100830,3,2016
102313,101471,4,2016
102313,100724,5,2016
102313,102270,6,2016
102313,101569,7,2016
102313,101435,8,2016
102313,102298,9,2016
102313,102067,10,2016
102313,100654,11,2016
102313,101912,12,2016
102313,101301,13,2016
102313,102377,14,2016
102313,101994,15,2016
102313,101189,16,2016
102313,101073,17,2016
102313,100690,18,2016
102313,100663,19,2016
102313,100760,20,2016
102313,100858,21,2016
102313,101675,22,2016
102313,102429,23,2016
102313,101462,24,2016
102313,107600,25,2016
101453,101143,1,2016
101453,106810,2,2016
101453,100690,3,2016
101453,434584,4,2016
101453,181376,5,2016
101453,207856,6,2016
101453,,7,2016
101453,223506,8,2016
101453,132408,9,2016
101453,440794,10,2016
101453,260947,11,2016
101453,101994,12,2016
101453,101189,13,2016
101453,107743,14,2016
101453,102030,15,2016
101453,220215,16,2016
101453,155007,17,2016
101453,384254,18,2016
101453,107521,19,2016
101453,219505,20,2016
101453,101912,21,2016
101453,174525,22,2016
101453,107619,23,2016
101453,137953,24,2016
101453,101286,25,2016
101435,102368,1,2016
101435,101189,2,2016
101435,100830,3,2016
101435,100858,4,2016
101435,102049,5,2016
101435,100663,6,2016
101435,100937,7,2016
101435,102094,8,2016
101435,100751,9,2016
101435,101693,10,2016
101435,101480,11,2016
101435,101709,12,2016
101435,101587,13,2016
101435,101879,14,2016
101435,100724,15,2016
101435,102234,16,2016
101435,101541,17,2016
101435,102377,18,2016
101435,100706,19,2016
101435,102270,20,2016
101435,101675,21,2016
