school,cip
100654,52.0301
100654,01.0102
100654,01.9999
100654,01.0000
100654,01.0901
100654,13.1302
100654,50.0701
100654,26.0101
100654,52.0201
100654,40.0501
100654,04.0301
100654,15.0201
100654,14.0801
100654,42.0201
100654,11.0101
100654,42.0601
100654,13.1210
100654,45.0601
100654,13.0101
100654,13.1012
100654,13.0401
100654,15.0399
100654,14.1001
100654,13.1202
100654,23.0101
100654,19.0101
100654,52.0801
100654,01.1001
100654,03.0599
100654,42.0901
100654,15.0612
100654,52.1401
100654,27.0101
100654,14.1901
100654,15.0899
100654,13.1312
100654,52.0204
100654,13.1314
100654,40.0801
100654,40.0899
100654,01.1199
100654,45.1001
100654,42.0101
100654,10.0202
100654,13.1315
100654,13.1205
100654,44.0701
100654,45.1101
100654,13.1001
100654,51.0203
100663,52.0301
100663,05.0201
100663,45.0201
100663,27.0301
100663,50.0703
100663,13.1302
100663,50.0701
100663,30.0101
100663,26.0101
100663,26.0102
100663,14.0501
100663,26.1102
100663,52.0201
100663,52.0299
100663,52.0601
100663,26.0401
100663,40.0501
100663,14.0801
100663,51.1005
100663,51.3102
100663,09.0101
100663,11.0101
100663,14.0901
100663,43.0199
100663,13.1101
100663,51.1002
100663,51.0601
100663,51.0501
100663,51.0401
100663,51.3101
100663,50.0501
100663,13.1210
100663,13.0101
100663,13.0401
100663,14.1001
100663,13.1202
100663,14.0101
100663,14.9999
100663,23.0101
100663,51.2202
100663,14.1401
100663,26.1309
100663,52.0801
100663,16.0101
100663,43.0106
100663,16.0901
100663,51.0799
100663,31.0599
100663,51.0706
100663,51.9999
100663,13.1307
100663,51.0701
100663,54.0101
100663,26.0806
100663,24.0199
100663,52.1201
100663,52.1401
100663,14.1801
100663,27.0101
100663,14.1901
100663,51.0907
100663,51.1201
100663,26.0502
100663,26.0205
100663,26.0902
100663,30.9999
100663,50.0901
100663,26.0906
100663,51.0905
100663,51.1604
100663,51.1602
100663,51.1608
100663,51.1601
100663,30.1901
100663,51.2306
100663,51.1701
100663,26.0910
100663,26.1007
100663,38.0101
100663,13.1314
100663,51.2308
100663,51.0912
100663,40.0801
100663,45.1001
100663,42.0101
100663,44.0401
100663,51.2201
100663,51.0908
100663,13.1205
100663,45.9999
100663,44.0701
100663,45.1101
100663,16.0905
100663,13.1001
100663,26.0909
100706,52.0301
100706,27.0301
100706,50.0701
100706,40.0401
100706,26.0101
100706,26.1201
100706,52.0201
100706,14.0701
100706,40.0501
100706,14.0801
100706,11.0101
100706,14.0901
100706,11.0899
100706,14.1001
100706,13.1202
100706,14.0101
100706,14.9999
100706,23.0101
100706,52.0801
100706,16.0101
100706,54.0101
100706,52.1001
100706,14.3501
100706,52.1201
100706,52.1401
100706,27.0101
100706,14.1901
100706,30.9999
100706,50.0901
100706,51.1699
100706,51.1601
100706,38.0101
100706,40.0801
100706,45.1001
100706,42.0101
100706,44.0401
100706,45.1101
100706,23.1001
100706,13.1401
100706,23.1101
100724,52.0301
100724,50.0701
100724,26.0101
100724,52.0201
100724,40.0501
100724,09.0101
100724,11.0701
100724,13.1101
100724,43.0104
100724,50.0501
100724,13.1210
100724,13.0101
100724,13.0401
100724,13.0501
100724,13.1202
100724,23.0101
100724,52.0801
100724,51.0706
100724,54.0101
100724,11.0401
100724,26.1302
100724,52.1401
100724,27.0101
100724,13.1312
100724,50.0901
100724,51.2306
100724,31.0301
100724,13.1314
100724,40.0801
100724,45.1001
100724,42.0101
100724,44.9999
100724,13.1205
100724,44.0701
100724,45.1101
100724,13.1001
100724,13.1206
100724,51.2310
100751,52.0301
100751,09.0903
100751,14.0201
100751,05.0201
100751,05.0102
100751,45.0201
100751,27.0301
100751,50.0703
100751,51.0913
100751,51.0204
100751,26.0101
100751,52.0201
100751,52.0601
100751,14.0701
100751,40.0501
100751,14.0801
100751,09.0101
100751,11.0101
100751,14.3301
100751,42.0601
100751,13.1101
100751,23.0501
100751,43.0104
100751,50.0301
100751,42.0701
100751,51.3101
100751,50.0501
100751,13.1210
100751,13.0401
100751,42.1801
100751,13.0603
100751,13.0404
100751,14.1001
100751,13.0408
100751,13.1202
100751,14.1101
100751,23.0101
100751,03.0104
100751,14.1401
100751,19.0101
100751,19.0401
100751,19.0901
100751,52.0801
100751,50.0799
100751,50.0702
100751,16.0101
100751,45.0701
100751,40.0601
100751,16.0501
100751,31.0599
100751,51.9999
100751,13.0406
100751,54.0101
100751,51.0702
100751,19.0701
100751,19.0799
100751,14.3501
100751,50.0408
100751,45.0901
100751,09.0401
100751,31.0505
100751,05.0107
100751,22.0101
100751,22.0299
100751,25.0101
100751,52.1201
100751,52.1301
100751,26.1302
100751,52.1401
100751,09.0102
100751,14.1801
100751,27.0502
100751,27.0101
100751,14.1901
100751,14.2001
100751,26.0502
100751,30.9999
100751,13.1312
100751,50.0901
100751,51.1602
100751,51.1699
100751,51.1601
100751,38.0101
100751,13.1314
100751,40.0801
100751,45.1001
100751,42.0101
100751,44.0401
100751,09.0902
100751,09.0701
100751,38.0201
100751,52.0905
100751,16.0900
100751,13.1205
100751,13.0409
100751,44.0701
100751,45.1101
100751,16.0905
100751,13.1001
100751,51.0203
100751,52.1601
100751,13.1401
100751,51.2310
100751,05.0207
100812,52.0301
100812,50.0701
100812,26.0101
100812,52.0201
100812,52.9999
100812,40.0501
100812,11.0101
100812,43.0104
100812,13.1202
100812,23.0101
100812,43.0201
100812,51.9999
100812,54.0101
100812,52.1001
100812,13.1209
100812,24.0101
100812,27.0101
100812,30.9999
100812,30.1801
100812,13.1314
100812,40.0801
100812,45.1001
100812,42.0101
100812,38.0201
100812,45.0101
100812,45.1101
100812,13.1001
100812,31.0504
100812,13.1320
100830,52.0301
100830,50.0701
100830,26.0101
100830,52.0201
100830,52.0101
100830,52.0601
100830,09.0101
100830,13.1101
100830,43.0104
100830,13.0401
100830,13.1202
100830,23.0101
100830,52.0801
100830,16.0101
100830,16.0901
100830,16.0501
100830,54.0101
100830,52.1001
100830,24.0101
100830,52.1201
100830,52.1401
100830,27.0101
100830,51.1601
100830,40.0101
100830,45.1001
100830,42.0101
100830,44.0401
100830,13.1205
100830,45.1101
100830,16.0905
100858,52.0301
100858,13.1201
100858,14.0201
100858,01.0103
100858,14.0301
100858,01.0901
100858,45.0201
100858,19.0905
100858,27.0301
100858,01.0303
100858,14.0401
100858,04.0201
100858,51.0204
100858,26.0101
100858,52.0201
100858,52.0601
100858,14.0701
100858,40.0501
100858,04.0301
100858,14.0801
100858,51.1005
100858,42.0201
100858,51.1099
100858,11.0101
100858,14.0901
100858,42.0601
100858,13.1101
100858,45.0401
100858,50.0401
100858,50.0501
100858,13.1210
100858,45.0601
100858,13.0101
100858,13.0401
100858,13.0501
100858,14.1001
100858,13.1202
100858,14.9999
100858,23.0101
100858,13.1305
100858,04.0401
100858,03.0104
100858,52.0801
100858,50.0702
100858,13.1306
100858,03.0502
100858,03.0599
100858,16.0901
100858,45.0701
100858,40.0601
100858,16.0501
100858,13.1307
100858,51.0701
100858,54.0101
100858,01.1103
100858,52.0999
100858,19.0799
100858,52.1001
100858,50.0404
100858,14.3501
100858,04.0501
100858,50.0408
100858,52.1101
100858,09.0401
100858,04.0601
100858,52.0203
100858,52.1201
100858,26.1302
100858,52.1401
100858,14.1801
100858,13.1311
100858,27.0101
100858,14.1901
100858,26.0503
100858,26.0204
100858,13.1312
100858,50.0901
100858,03.0101
100858,51.1601
100858,30.1901
