from,to,rank
110635,193900,10
110644,110635,1
110644,110705,2
110644,110662,3
110644,110680,4
110644,110653,5
110644,123961,6
110644,110714,7
110644,110422,8
110644,243744,9
110644,110529,10
110653,110680,1
110653,110662,2
110653,110705,3
110653,110644,4
110653,123961,5
110653,110635,6
110653,110583,7
110653,243744,8
110653,110529,9
110653,110714,10
110662,110635,1
110662,123961,2
110662,243744,3
110662,110680,4
110662,110705,5
110662,193900,6
110662,166027,7
110662,110583,8
110662,130794,9
110662,110644,10
110671,110680,1
110671,110705,2
110671,110653,3
110671,110662,4
110671,110714,5
110671,110529,6
110671,121150,7
110671,122409,8
110671,110644,9
110671,123961,10
110680,110662,1
110680,122409,2
110680,110705,3
110680,110635,4
110680,123961,5
110680,110653,6
110680,243744,7
110680,110644,8
110680,110583,9
110680,121150,10
110699,110662,1
110699,110635,2
110699,243744,3
110699,122597,4
110699,123961,5
110699,122612,6
110699,110680,7
110699,110644,8
110699,110592,9
110699,122755,10
110705,110680,1
110705,110662,2
110705,110635,3
110705,123961,4
110705,110644,5
110705,110714,6
110705,110653,7
110705,110583,8
110705,243744,9
110705,121150,10
110714,110705,1
110714,110635,2
110714,110644,3
110714,110680,4
110714,122409,5
110714,110662,6
110714,110538,7
110714,110653,8
110714,110583,9
110714,122597,10
111081,110662,1
111081,109651,2
111081,108232,3
111081,110370,4
111081,193900,5
111081,120403,6
111081,123961,7
111081,236948,8
111081,140951,9
111081,121150,10
111948,123961,1
111948,110662,2
111948,121150,3
111948,110635,4
111948,110680,5
111948,109785,6
111948,110097,7
111948,110583,8
111948,120883,9
111948,243744,10
115083,110635,1
115755,110538,1
115755,110714,2
115755,243744,3
115755,110635,4
115755,123572,5
115755,123961,6
115755,122597,7
115755,409698,8
115755,110662,9
115755,110705,10
117140,123961,1
117140,111948,2
117140,110529,3
117140,110662,4
117140,110583,5
117140,110565,6
117140,122597,7
117140,122409,8
117140,125727,9
117140,125763,10
117946,110680,1
117946,123961,2
117946,121150,3
117946,110583,4
117946,110635,5
117946,110705,6
117946,122409,7
117946,110714,8
117946,110662,9
117946,122436,10
118888,243744,1
118888,122612,2
118888,122409,3
118888,110608,4
118888,110404,5
118888,120254,6
118888,123165,7
118888,117946,8
120254,123961,1
120254,123165,2
120254,121150,3
120254,121345,4
120254,110422,5
120254,117946,6
120254,112260,7
120254,125763,8
120254,110662,9
120254,121257,10
120883,123961,1
120883,122931,2
120883,110644,3
120883,110705,4
120883,110583,5
120883,122597,6
120883,110608,7
120883,110662,8
120883,122612,9
120883,111948,10
121150,123961,1
121150,110680,2
121150,110662,3
121150,110635,4
121150,243744,5
121150,110705,6
