year,status,state,demo,grads
2000,actual,Alabama,grand_total,41316
2001,actual,Alabama,grand_total,40127
2002,actual,Alabama,grand_total,41412
2003,actual,Alabama,grand_total,41729
2004,actual,Alabama,grand_total,42644
2005,actual,Alabama,grand_total,42908
2006,actual,Alabama,grand_total,43488
2007,actual,Alabama,grand_total,45981
2008,actual,Alabama,grand_total,47359
2009,actual,Alabama,grand_total,48178
2010,actual,Alabama,grand_total,50756
2011,projected,Alabama,grand_total,50262.541220277504
2012,projected,Alabama,grand_total,49127.631906049246
2013,projected,Alabama,grand_total,49242.10475440445
2014,projected,Alabama,grand_total,50317.0476849407
2015,projected,Alabama,grand_total,49386.39739511974
2016,projected,Alabama,grand_total,49101.94761363561
2017,projected,Alabama,grand_total,49843.44024757221
2018,projected,Alabama,grand_total,48689.73869748976
2019,projected,Alabama,grand_total,47131.02781731337
2020,projected,Alabama,grand_total,46185.08420977458
2021,projected,Alabama,grand_total,45801.413602339926
2022,projected,Alabama,grand_total,45850.18051037954
2023,projected,Alabama,grand_total,46808.2371881381
2024,projected,Alabama,grand_total,48325.324487603786
2025,projected,Alabama,grand_total,48737.01960542987
2026,projected,Alabama,grand_total,47122.40448121367
2027,projected,Alabama,grand_total,45137.80281604357
2028,projected,Alabama,grand_total,44514.358809715355
2029,projected,Alabama,grand_total,43890.392114540125
2030,projected,Alabama,grand_total,43744.74866387618
2031,projected,Alabama,grand_total,44677.10628883246
2000,actual,Alabama,private_total,4234
2001,actual,Alabama,private_total,4240
2002,actual,Alabama,private_total,4671
2003,actual,Alabama,private_total,5265
2004,actual,Alabama,private_total,5191
2005,actual,Alabama,private_total,4990
2006,actual,Alabama,private_total,4576
2007,actual,Alabama,private_total,4635
2008,actual,Alabama,private_total,5277
2009,actual,Alabama,private_total,5012
2010,actual,Alabama,private_total,4721
2011,projected,Alabama,private_total,4868.541220277508
2012,projected,Alabama,private_total,4894.631906049249
2013,projected,Alabama,private_total,4814.879573389496
2014,projected,Alabama,private_total,4845.641259979054
2015,projected,Alabama,private_total,4601.419958750977
2016,projected,Alabama,private_total,4531.17999172233
2017,projected,Alabama,private_total,4454.553776699997
2018,projected,Alabama,private_total,4071.9503715860997
2019,projected,Alabama,private_total,3737.518385513971
2020,projected,Alabama,private_total,3561.996967329167
2021,projected,Alabama,private_total,3333.418804783804
2022,projected,Alabama,private_total,3223.0765982696335
2023,projected,Alabama,private_total,3703.9563037859225
2024,projected,Alabama,private_total,3792.319355184931
2025,projected,Alabama,private_total,3724.070617604365
2026,projected,Alabama,private_total,3567.299853446558
2027,projected,Alabama,private_total,3427.9289746064937
2028,projected,Alabama,private_total,3420.168575004688
2029,projected,Alabama,private_total,3366.999718385737
2030,projected,Alabama,private_total,3343.013745632988
2031,projected,Alabama,private_total,3410.988528513042
2000,actual,Alabama,public_total,37082
2001,actual,Alabama,public_total,35887
2002,actual,Alabama,public_total,36741
2003,actual,Alabama,public_total,36464
2004,actual,Alabama,public_total,37453
2005,actual,Alabama,public_total,37918
2006,actual,Alabama,public_total,38912
2007,actual,Alabama,public_total,41346
2008,actual,Alabama,public_total,42082
2009,actual,Alabama,public_total,43166
2010,actual,Alabama,public_total,46035
2011,projected,Alabama,public_total,45394
2012,projected,Alabama,public_total,44233
2013,projected,Alabama,public_total,44427.225181014954
2014,projected,Alabama,public_total,45471.40642496164
2015,projected,Alabama,public_total,44784.97743636876
2016,projected,Alabama,public_total,44570.76762191328
2017,projected,Alabama,public_total,45388.88647087221
2018,projected,Alabama,public_total,44617.78832590366
2019,projected,Alabama,public_total,43393.5094317994
2020,projected,Alabama,public_total,42623.08724244541
2021,projected,Alabama,public_total,42467.99479755612
2022,projected,Alabama,public_total,42627.10391210991
2023,projected,Alabama,public_total,43104.28088435218
2024,projected,Alabama,public_total,44533.00513241885
2025,projected,Alabama,public_total,45012.948987825504
2026,projected,Alabama,public_total,43555.10462776711
2027,projected,Alabama,public_total,41709.873841437075
2028,projected,Alabama,public_total,41094.190234710666
2029,projected,Alabama,public_total,40523.39239615439
2030,projected,Alabama,public_total,40401.734918243186
2031,projected,Alabama,public_total,41266.117760319416
2000,actual,Alabama,hispanic,238
2001,actual,Alabama,hispanic,245
2002,actual,Alabama,hispanic,313
2003,actual,Alabama,hispanic,325
2004,actual,Alabama,hispanic,404
2005,actual,Alabama,hispanic,478
2006,actual,Alabama,hispanic,580
2007,actual,Alabama,hispanic,684
2008,actual,Alabama,hispanic,799
2009,actual,Alabama,hispanic,976
2010,actual,Alabama,hispanic,1213
2011,projected,Alabama,hispanic,1206
2012,projected,Alabama,hispanic,1338
2013,projected,Alabama,hispanic,1452.9488013610028
2014,projected,Alabama,hispanic,1579.2483775084647
2015,projected,Alabama,hispanic,1712.013084792281
2016,projected,Alabama,hispanic,1842.7416184525102
2017,projected,Alabama,hispanic,2035.2642170008041
2018,projected,Alabama,hispanic,2225.6911510021414
2019,projected,Alabama,hispanic,2243.2491758313854
2020,projected,Alabama,hispanic,2487.3413714817375
2021,projected,Alabama,hispanic,2561.5314678587656
2022,projected,Alabama,hispanic,2656.588438285201
2023,projected,Alabama,hispanic,2978.594307478902
2024,projected,Alabama,hispanic,3356.924313720248
2025,projected,Alabama,hispanic,3678.298503219263
2026,projected,Alabama,hispanic,3476.824378996576
2027,projected,Alabama,hispanic,3199.729506449619
2028,projected,Alabama,hispanic,2944.2159158977547
2029,projected,Alabama,hispanic,2590.013113736286
2030,projected,Alabama,hispanic,2667.0425300404972
2031,projected,Alabama,hispanic,2672.121548123281
2000,actual,Alabama,white,24073
2001,actual,Alabama,white,23462
2002,actual,Alabama,white,24127
2003,actual,Alabama,white,23949
2004,actual,Alabama,white,24391
2005,actual,Alabama,white,24680
2006,actual,Alabama,white,25004
2007,actual,Alabama,white,26375
2008,actual,Alabama,white,26380
2009,actual,Alabama,white,26569
2010,actual,Alabama,white,27957.672632541093
2011,projected,Alabama,white,27781.019875314625
2012,projected,Alabama,white,27052.134020505586
2013,projected,Alabama,white,27142.608241280883
2014,projected,Alabama,white,27764.026182841917
2015,projected,Alabama,white,27379.857560871154
2016,projected,Alabama,white,27308.101672155248
2017,projected,Alabama,white,27421.313514183465
2018,projected,Alabama,white,26904.522079568815
2019,projected,Alabama,white,26223.07151150748
2020,projected,Alabama,white,25914.789540105558
2021,projected,Alabama,white,25631.07864981031
2022,projected,Alabama,white,25905.7616678223
2023,projected,Alabama,white,25546.036087757067
2024,projected,Alabama,white,25838.1896036549
2025,projected,Alabama,white,25895.26307028607
2026,projected,Alabama,white,25083.520203501852
2027,projected,Alabama,white,24312.568439651877
2028,projected,Alabama,white,24122.10316363072
2029,projected,Alabama,white,23782.54890385021
2030,projected,Alabama,white,23765.9203808291
2031,projected,Alabama,white,24341.953227053287
2000,actual,Alabama,black,11986
2001,actual,Alabama,black,11374
2002,actual,Alabama,black,11500
2003,actual,Alabama,black,11483
2004,actual,Alabama,black,11803
2005,actual,Alabama,black,12026
2006,actual,Alabama,black,12546
2007,actual,Alabama,black,13343
2008,actual,Alabama,black,13884
2009,actual,Alabama,black,14558
2010,actual,Alabama,black,15836.222865880782
2011,projected,Alabama,black,15332.556198926954
2012,projected,Alabama,black,14758.43252402933
2013,projected,Alabama,black,14718.694011448924
2014,projected,Alabama,black,15038.234492409123
2015,projected,Alabama,black,14603.842270521374
2016,projected,Alabama,black,14368.496210227824
2017,projected,Alabama,black,14745.349485747292
2018,projected,Alabama,black,14373.42387707759
2019,projected,Alabama,black,13832.255096396899
2020,projected,Alabama,black,13117.862354075114
2021,projected,Alabama,black,13137.257894856999
2022,projected,Alabama,black,12992.518859118523
2023,projected,Alabama,black,13502.883093135446
2024,projected,Alabama,black,14158.81392612482
2025,projected,Alabama,black,14322.836148158916
2026,projected,Alabama,black,13807.313956790744
2027,projected,Alabama,black,13022.915543930792
2028,projected,Alabama,black,12841.993436844254
2029,projected,Alabama,black,12956.742853432257
2030,projected,Alabama,black,12826.041303388449
2031,projected,Alabama,black,13051.451018423337
2000,actual,Alabama,amerindian_alaskanative,437
2001,actual,Alabama,amerindian_alaskanative,459
2002,actual,Alabama,amerindian_alaskanative,417
2003,actual,Alabama,amerindian_alaskanative,339
2004,actual,Alabama,amerindian_alaskanative,404
2005,actual,Alabama,amerindian_alaskanative,343
2006,actual,Alabama,amerindian_alaskanative,342
2007,actual,Alabama,amerindian_alaskanative,437
2008,actual,Alabama,amerindian_alaskanative,461
2009,actual,Alabama,amerindian_alaskanative,407
2010,actual,Alabama,amerindian_alaskanative,492.49861752796846
2011,projected,Alabama,amerindian_alaskanative,467.0613713932201
2012,projected,Alabama,amerindian_alaskanative,487.55850429560303
2013,projected,Alabama,amerindian_alaskanative,462.17811070567853
2014,projected,Alabama,amerindian_alaskanative,418.7738745654283
2015,projected,Alabama,amerindian_alaskanative,472.34660217377007
2016,projected,Alabama,amerindian_alaskanative,473.66094855716585
2017,projected,Alabama,amerindian_alaskanative,478.2431782975489
2018,projected,Alabama,amerindian_alaskanative,452.72362965275295
2019,projected,Alabama,amerindian_alaskanative,497.81623096018814
2020,projected,Alabama,amerindian_alaskanative,486.61422729765513
2021,projected,Alabama,amerindian_alaskanative,491.6103820092355
2022,projected,Alabama,amerindian_alaskanative,489.57962729256536
2023,projected,Alabama,amerindian_alaskanative,494.39397340697434
2024,projected,Alabama,amerindian_alaskanative,523.3220479758927
2025,projected,Alabama,amerindian_alaskanative,521.5859328927688
2026,projected,Alabama,amerindian_alaskanative,567.919495487084
2027,projected,Alabama,amerindian_alaskanative,550.052981162116
2028,projected,Alabama,amerindian_alaskanative,524.8268280862194
2029,projected,Alabama,amerindian_alaskanative,551.9474859948247
2030,projected,Alabama,amerindian_alaskanative,554.2653672169439
2031,projected,Alabama,amerindian_alaskanative,471.2946340650198
2000,actual,Alabama,asian,348
2001,actual,Alabama,asian,347
2002,actual,Alabama,asian,384
2003,actual,Alabama,asian,368
2004,actual,Alabama,asian,420
2005,actual,Alabama,asian,391
2006,actual,Alabama,asian,411
2007,actual,Alabama,asian,474
2008,actual,Alabama,asian,509
2009,actual,Alabama,asian,606
2010,actual,Alabama,asian,535.6058840501597
2011,projected,Alabama,asian,607.3625543652018
2012,projected,Alabama,asian,596.8749511694828
2013,projected,Alabama,asian,642.6689694227964
2014,projected,Alabama,asian,673.3915609527237
2015,projected,Alabama,asian,656.0224459777342
2016,projected,Alabama,asian,649.4552011515167
2017,projected,Alabama,asian,766.7046664911178
2018,projected,Alabama,asian,731.4692542893874
2019,projected,Alabama,asian,710.1734251125707
2020,projected,Alabama,asian,807.7175990691394
2021,projected,Alabama,asian,875.2468148980223
2022,projected,Alabama,asian,858.311567203153
2023,projected,Alabama,asian,843.3467270666067
2024,projected,Alabama,asian,946.4667439305053
2025,projected,Alabama,asian,1002.5550101910171
2026,projected,Alabama,asian,1057.9760703831616
2027,projected,Alabama,asian,1025.591640116282
2028,projected,Alabama,asian,1059.6492594676772
2029,projected,Alabama,asian,1125.9250732396602
2030,projected,Alabama,asian,1023.3056443067733
2031,projected,Alabama,asian,1132.4182207949557
2000,actual,Alaska,grand_total,7059
2001,actual,Alaska,grand_total,7202
2002,actual,Alaska,grand_total,7593
2003,actual,Alaska,grand_total,7541
2004,actual,Alaska,grand_total,7200
2005,actual,Alaska,grand_total,7630
2006,actual,Alaska,grand_total,7864
2007,actual,Alaska,grand_total,8050
2008,actual,Alaska,grand_total,8197
2009,actual,Alaska,grand_total,8442
2010,actual,Alaska,grand_total,8282
2011,projected,Alaska,grand_total,8159.079634425568
2012,projected,Alaska,grand_total,8036.861922963423
2013,projected,Alaska,grand_total,7963.5920143798485
2014,projected,Alaska,grand_total,7634.983155540499
2015,projected,Alaska,grand_total,7588.710761914653
2016,projected,Alaska,grand_total,7769.937902430614
2017,projected,Alaska,grand_total,7795.88225622595
2018,projected,Alaska,grand_total,7758.263514628437
2019,projected,Alaska,grand_total,7530.29618206058
2020,projected,Alaska,grand_total,7491.3770666175305
2021,projected,Alaska,grand_total,7553.75927870922
2022,projected,Alaska,grand_total,7604.865463725801
2023,projected,Alaska,grand_total,7757.553608525955
2024,projected,Alaska,grand_total,7938.222279289176
2025,projected,Alaska,grand_total,8275.434495858466
2026,projected,Alaska,grand_total,8170.720258081244
2027,projected,Alaska,grand_total,8256.124815785415
2028,projected,Alaska,grand_total,8227.378216493189
2029,projected,Alaska,grand_total,8051.157058444223
2030,projected,Alaska,grand_total,8244.334319349315
2031,projected,Alaska,grand_total,8202.049425579173
2000,actual,Alaska,private_total,247
2001,actual,Alaska,private_total,257
2002,actual,Alaska,private_total,296
2003,actual,Alaska,private_total,305
2004,actual,Alaska,private_total,291
2005,actual,Alaska,private_total,269
2006,actual,Alaska,private_total,198
2007,actual,Alaska,private_total,195
2008,actual,Alaska,private_total,189
2009,actual,Alaska,private_total,197
2010,actual,Alaska,private_total,218
2011,projected,Alaska,private_total,170.07963442556795
2012,projected,Alaska,private_total,176.8619229634233
2013,projected,Alaska,private_total,176.1991494654374
2014,projected,Alaska,private_total,177.59543332348395
2015,projected,Alaska,private_total,172.834882179207
2016,projected,Alaska,private_total,176.68551067580054
2017,projected,Alaska,private_total,189.29647817121673
2018,projected,Alaska,private_total,196.8897603808564
2019,projected,Alaska,private_total,182.76999205809386
2020,projected,Alaska,private_total,189.75138619978517
2021,projected,Alaska,private_total,183.53954128993274
2022,projected,Alaska,private_total,193.58202181452057
2023,projected,Alaska,private_total,205.12839172576176
2024,projected,Alaska,private_total,204.56182614145865
2025,projected,Alaska,private_total,211.51865302367037
2026,projected,Alaska,private_total,208.51297671053865
2027,projected,Alaska,private_total,212.1394708630572
2028,projected,Alaska,private_total,212.02509724385862
2029,projected,Alaska,private_total,206.8353402610504
2030,projected,Alaska,private_total,211.53377070573555
2031,projected,Alaska,private_total,210.50165459124418
2000,actual,Alaska,public_total,6812
2001,actual,Alaska,public_total,6945
2002,actual,Alaska,public_total,7297
2003,actual,Alaska,public_total,7236
2004,actual,Alaska,public_total,6909
2005,actual,Alaska,public_total,7361
2006,actual,Alaska,public_total,7666
2007,actual,Alaska,public_total,7855
2008,actual,Alaska,public_total,8008
2009,actual,Alaska,public_total,8245
2010,actual,Alaska,public_total,8064
2011,projected,Alaska,public_total,7989
2012,projected,Alaska,public_total,7860
2013,projected,Alaska,public_total,7787.392864914411
2014,projected,Alaska,public_total,7457.387722217015
2015,projected,Alaska,public_total,7415.875879735446
2016,projected,Alaska,public_total,7593.252391754813
2017,projected,Alaska,public_total,7606.585778054733
2018,projected,Alaska,public_total,7561.373754247581
2019,projected,Alaska,public_total,7347.526190002486
2020,projected,Alaska,public_total,7301.625680417746
2021,projected,Alaska,public_total,7370.219737419287
2022,projected,Alaska,public_total,7411.2834419112805
2023,projected,Alaska,public_total,7552.425216800193
2024,projected,Alaska,public_total,7733.660453147718
2025,projected,Alaska,public_total,8063.915842834796
2026,projected,Alaska,public_total,7962.207281370705
2027,projected,Alaska,public_total,8043.985344922357
2028,projected,Alaska,public_total,8015.35311924933
2029,projected,Alaska,public_total,7844.321718183173
2030,projected,Alaska,public_total,8032.800548643579
2031,projected,Alaska,public_total,7991.547770987928
2000,actual,Alaska,hispanic,173
2001,actual,Alaska,hispanic,197
2002,actual,Alaska,hispanic,194
2003,actual,Alaska,hispanic,198
2004,actual,Alaska,hispanic,97
2005,actual,Alaska,hispanic,246
2006,actual,Alaska,hispanic,250
2007,actual,Alaska,hispanic,389
2008,actual,Alaska,hispanic,364
2009,actual,Alaska,hispanic,412
2010,actual,Alaska,hispanic,428
2011,projected,Alaska,hispanic,448
2012,projected,Alaska,hispanic,482
2013,projected,Alaska,hispanic,510.1000138357416
2014,projected,Alaska,hispanic,434.91249276595397
2015,projected,Alaska,hispanic,479.4487079088907
2016,projected,Alaska,hispanic,534.671820160729
2017,projected,Alaska,hispanic,554.6626505422117
2018,projected,Alaska,hispanic,519.7083606968065
2019,projected,Alaska,hispanic,537.4590265998103
2020,projected,Alaska,hispanic,490.6642155792253
2021,projected,Alaska,hispanic,514.3158497055845
2022,projected,Alaska,hispanic,576.424843797639
2023,projected,Alaska,hispanic,609.3894890907487
2024,projected,Alaska,hispanic,637.7276193634364
2025,projected,Alaska,hispanic,511.5440890441184
2026,projected,Alaska,hispanic,538.5980170287777
2027,projected,Alaska,hispanic,527.8647450903587
2028,projected,Alaska,hispanic,615.552425456293
2029,projected,Alaska,hispanic,590.0076293436676
2030,projected,Alaska,hispanic,680.7645133244893
2031,projected,Alaska,hispanic,674.2595054845276
2000,actual,Alaska,white,4678
2001,actual,Alaska,white,4734
2002,actual,Alaska,white,5024
2003,actual,Alaska,white,4972
2004,actual,Alaska,white,4756
2005,actual,Alaska,white,4843
2006,actual,Alaska,white,4921
2007,actual,Alaska,white,4742
2008,actual,Alaska,white,5133.678062575648
2009,actual,Alaska,white,5138.794392643053
2010,actual,Alaska,white,5028.708122194255
2011,projected,Alaska,white,4880.747414198051
2012,projected,Alaska,white,4725.641477402405
2013,projected,Alaska,white,4647.601928720537
2014,projected,Alaska,white,4408.4267166062045
2015,projected,Alaska,white,4283.181579211882
2016,projected,Alaska,white,4306.906992121225
2017,projected,Alaska,white,4187.80165324261
2018,projected,Alaska,white,4137.705434135711
2019,projected,Alaska,white,4000.371266485331
2020,projected,Alaska,white,4039.7335830494267
2021,projected,Alaska,white,4045.5728546397386
2022,projected,Alaska,white,3933.012742791279
2023,projected,Alaska,white,4031.683295065635
2024,projected,Alaska,white,3996.7881576918267
2025,projected,Alaska,white,4275.358027688916
2026,projected,Alaska,white,4119.420540111941
2027,projected,Alaska,white,4184.21186363345
2028,projected,Alaska,white,3895.734073498744
2029,projected,Alaska,white,3701.481218927335
2030,projected,Alaska,white,4260.6200697903
2031,projected,Alaska,white,4208.061858868382
2000,actual,Alaska,black,246
2001,actual,Alaska,black,252
2002,actual,Alaska,black,268
2003,actual,Alaska,black,280
2004,actual,Alaska,black,229
2005,actual,Alaska,black,302
2006,actual,Alaska,black,282
2007,actual,Alaska,black,262
2008,actual,Alaska,black,297.76747093565956
2009,actual,Alaska,black,289.03766088680186
2010,actual,Alaska,black,307.4938037930991
2011,projected,Alaska,black,283.49144595827204
2012,projected,Alaska,black,288.9140349413311
2013,projected,Alaska,black,263.41777614830613
2014,projected,Alaska,black,274.527266921558
2015,projected,Alaska,black,259.5960193914479
2016,projected,Alaska,black,276.7273273537731
2017,projected,Alaska,black,280.79684665670595
2018,projected,Alaska,black,253.79520112197395
2019,projected,Alaska,black,281.4168150304068
2020,projected,Alaska,black,234.0059864677687
2021,projected,Alaska,black,237.5816272009554
2022,projected,Alaska,black,235.3290243023812
2023,projected,Alaska,black,230.7739211921542
2024,projected,Alaska,black,243.20366391146638
2025,projected,Alaska,black,246.49897654291598
2026,projected,Alaska,black,262.9197414247973
2027,projected,Alaska,black,251.4769904270528
2028,projected,Alaska,black,256.0914814571488
2029,projected,Alaska,black,212.29988385776434
2030,projected,Alaska,black,263.89496138154647
2031,projected,Alaska,black,263.85451969129485
2000,actual,Alaska,amerindian_alaskanative,1286
2001,actual,Alaska,amerindian_alaskanative,1340
2002,actual,Alaska,amerindian_alaskanative,1343
2003,actual,Alaska,amerindian_alaskanative,1325
2004,actual,Alaska,amerindian_alaskanative,1233
2005,actual,Alaska,amerindian_alaskanative,1442
2006,actual,Alaska,amerindian_alaskanative,1693
2007,actual,Alaska,amerindian_alaskanative,1523
2008,actual,Alaska,amerindian_alaskanative,1592.3640634344206
2009,actual,Alaska,amerindian_alaskanative,1707.1288693676502
2010,actual,Alaska,amerindian_alaskanative,1545.739196227561
2011,projected,Alaska,amerindian_alaskanative,1595.8024029894948
2012,projected,Alaska,amerindian_alaskanative,1591.3665258994051
2013,projected,Alaska,amerindian_alaskanative,1610.8879584914957
2014,projected,Alaska,amerindian_alaskanative,1519.609021492482
2015,projected,Alaska,amerindian_alaskanative,1576.34878965194
2016,projected,Alaska,amerindian_alaskanative,1605.0391480920323
2017,projected,Alaska,amerindian_alaskanative,1687.723597108034
2018,projected,Alaska,amerindian_alaskanative,1691.0725336584533
2019,projected,Alaska,amerindian_alaskanative,1621.8668102604202
2020,projected,Alaska,amerindian_alaskanative,1595.8770605580175
2021,projected,Alaska,amerindian_alaskanative,1639.436242908301
2022,projected,Alaska,amerindian_alaskanative,1705.3932407259467
2023,projected,Alaska,amerindian_alaskanative,1740.2286990824227
2024,projected,Alaska,amerindian_alaskanative,1850.7203312770325
2025,projected,Alaska,amerindian_alaskanative,1918.8518401306264
2026,projected,Alaska,amerindian_alaskanative,1954.9590532997086
2027,projected,Alaska,amerindian_alaskanative,1918.9966890250482
2028,projected,Alaska,amerindian_alaskanative,1838.624436116159
2029,projected,Alaska,amerindian_alaskanative,1776.998840613185
2030,projected,Alaska,amerindian_alaskanative,1597.4432213234657
2031,projected,Alaska,amerindian_alaskanative,1573.0780956600195
2000,actual,Alaska,asian,429
2001,actual,Alaska,asian,422
2002,actual,Alaska,asian,468
2003,actual,Alaska,asian,461
2004,actual,Alaska,asian,477
2005,actual,Alaska,asian,528
2006,actual,Alaska,asian,520
2007,actual,Alaska,asian,575
2008,actual,Alaska,asian,739.1904030542719
2009,actual,Alaska,asian,698.0390771024958
2010,actual,Alaska,asian,754.0588777850845
2011,projected,Alaska,asian,780.9587368541825
2012,projected,Alaska,asian,772.0779617568581
2013,projected,Alaska,asian,693.2989674951341
2014,projected,Alaska,asian,731.8399513603524
2015,projected,Alaska,asian,702.1727538916394
2016,projected,Alaska,asian,732.5547612833224
2017,projected,Alaska,asian,722.8172985748895
2018,projected,Alaska,asian,756.7150223431285
2019,projected,Alaska,asian,688.2467669859385
2020,projected,Alaska,asian,706.4415417272472
2021,projected,Alaska,asian,670.1545430167931
2022,projected,Alaska,asian,673.9845225519958
2023,projected,Alaska,asian,629.2817132089481
2024,projected,Alaska,asian,660.0523188720953
2025,projected,Alaska,asian,826.6559405995818
2026,projected,Alaska,asian,809.7763611552969
2027,projected,Alaska,asian,875.5858449286369
2028,projected,Alaska,asian,819.5620068533465
2029,projected,Alaska,asian,863.9371246086366
2030,projected,Alaska,asian,864.2800845116185
2031,projected,Alaska,asian,898.3351656230085
2000,actual,Arizona,grand_total,48812
2001,actual,Arizona,grand_total,49416
2002,actual,Arizona,grand_total,52388
2003,actual,Arizona,grand_total,48042
2004,actual,Arizona,grand_total,62132
2005,actual,Arizona,grand_total,56847
2006,actual,Arizona,grand_total,58547
2007,actual,Arizona,grand_total,64547
2008,actual,Arizona,grand_total,65129
2009,actual,Arizona,grand_total,63982
2010,actual,Arizona,grand_total,67118
2011,projected,Arizona,grand_total,65976.66746304272
2012,projected,Arizona,grand_total,64749.89702714817
2013,projected,Arizona,grand_total,68059.82429587265
2014,projected,Arizona,grand_total,66952.22834605884
2015,projected,Arizona,grand_total,67549.0935093102
2016,projected,Arizona,grand_total,67909.31388355656
2017,projected,Arizona,grand_total,68626.62591455884
2018,projected,Arizona,grand_total,68985.0838911566
2019,projected,Arizona,grand_total,68573.50255746674
2020,projected,Arizona,grand_total,69507.14420278993
2021,projected,Arizona,grand_total,69312.83655383032
2022,projected,Arizona,grand_total,69981.00858351792
2023,projected,Arizona,grand_total,70851.31687388029
2024,projected,Arizona,grand_total,72298.31610021136
2025,projected,Arizona,grand_total,71533.96961635271
2026,projected,Arizona,grand_total,66527.63587731913
2027,projected,Arizona,grand_total,62357.22806907107
2028,projected,Arizona,grand_total,60704.871186512304
2029,projected,Arizona,grand_total,61505.16921684294
2030,projected,Arizona,grand_total,61069.01659905101
2031,projected,Arizona,grand_total,61951.00546705282
2000,actual,Arizona,private_total,2079
2001,actual,Arizona,private_total,2241
2002,actual,Arizona,private_total,2402
2003,actual,Arizona,private_total,2534
2004,actual,Arizona,private_total,2634
2005,actual,Arizona,private_total,2756
2006,actual,Arizona,private_total,2593
2007,actual,Arizona,private_total,2880
2008,actual,Arizona,private_total,2755
2009,actual,Arizona,private_total,2837
2010,actual,Arizona,private_total,2646
2011,projected,Arizona,private_total,2768.667463042721
2012,projected,Arizona,private_total,2541.8970271481703
2013,projected,Arizona,private_total,2506.984741809897
2014,projected,Arizona,private_total,2343.0954536389777
2015,projected,Arizona,private_total,2417.5047471351813
2016,projected,Arizona,private_total,2368.9971425970757
2017,projected,Arizona,private_total,2291.654747948495
2018,projected,Arizona,private_total,2134.6386025933703
2019,projected,Arizona,private_total,2065.642243110151
2020,projected,Arizona,private_total,2059.811470964036
2021,projected,Arizona,private_total,1916.6575604788786
2022,projected,Arizona,private_total,1818.91088798584
2023,projected,Arizona,private_total,2190.5286217167977
2024,projected,Arizona,private_total,2204.256136578991
2025,projected,Arizona,private_total,2095.123475792011
2026,projected,Arizona,private_total,1925.8101374025139
2027,projected,Arizona,private_total,1812.1889637662186
2028,projected,Arizona,private_total,1794.6424439996674
2029,projected,Arizona,private_total,1813.820590800897
2030,projected,Arizona,private_total,1790.828898458355
2031,projected,Arizona,private_total,1814.473134191629
2000,actual,Arizona,public_total,46733
2001,actual,Arizona,public_total,47175
2002,actual,Arizona,public_total,49986
2003,actual,Arizona,public_total,45508
2004,actual,Arizona,public_total,59498
2005,actual,Arizona,public_total,54091
2006,actual,Arizona,public_total,55954
2007,actual,Arizona,public_total,61667
2008,actual,Arizona,public_total,62374
2009,actual,Arizona,public_total,61145
2010,actual,Arizona,public_total,64472
2011,projected,Arizona,public_total,63208
2012,projected,Arizona,public_total,62208
2013,projected,Arizona,public_total,65552.83955406275
2014,projected,Arizona,public_total,64609.13289241985
2015,projected,Arizona,public_total,65131.588762175015
2016,projected,Arizona,public_total,65540.31674095949
2017,projected,Arizona,public_total,66334.97116661034
2018,projected,Arizona,public_total,66850.44528856322
2019,projected,Arizona,public_total,66507.86031435659
2020,projected,Arizona,public_total,67447.3327318259
2021,projected,Arizona,public_total,67396.17899335144
2022,projected,Arizona,public_total,68162.09769553208
2023,projected,Arizona,public_total,68660.78825216349
2024,projected,Arizona,public_total,70094.059963632375
2025,projected,Arizona,public_total,69438.8461405607
2026,projected,Arizona,public_total,64601.82573991661
2027,projected,Arizona,public_total,60545.03910530485
2028,projected,Arizona,public_total,58910.228742512634
2029,projected,Arizona,public_total,59691.34862604205
2030,projected,Arizona,public_total,59278.18770059265
2031,projected,Arizona,public_total,60136.53233286119
2000,actual,Arizona,hispanic,12467.54607
2001,actual,Arizona,hispanic,12479
2002,actual,Arizona,hispanic,13622
2003,actual,Arizona,hispanic,13874
2004,actual,Arizona,hispanic,17616
2005,actual,Arizona,hispanic,16369
2006,actual,Arizona,hispanic,17593
2007,actual,Arizona,hispanic,20276
2008,actual,Arizona,hispanic,21607
2009,actual,Arizona,hispanic,22452
2010,actual,Arizona,hispanic,23741
2011,projected,Arizona,hispanic,23517
2012,projected,Arizona,hispanic,23542
2013,projected,Arizona,hispanic,25537.241412456104
2014,projected,Arizona,hispanic,26088.794208546682
2015,projected,Arizona,hispanic,26490.238733725968
2016,projected,Arizona,hispanic,26832.132509530842
2017,projected,Arizona,hispanic,27509.19912127144
2018,projected,Arizona,hispanic,28306.3312125247
2019,projected,Arizona,hispanic,28313.04121923251
2020,projected,Arizona,hispanic,28773.040019746426
2021,projected,Arizona,hispanic,29085.217132853417
2022,projected,Arizona,hispanic,29850.303854914444
2023,projected,Arizona,hispanic,30532.90478138369
2024,projected,Arizona,hispanic,31835.686300522448
2025,projected,Arizona,hispanic,30053.588186025732
2026,projected,Arizona,hispanic,27060.14883435863
2027,projected,Arizona,hispanic,24160.65159400322
2028,projected,Arizona,hispanic,22834.831391035732
2029,projected,Arizona,hispanic,23347.863035245402
2030,projected,Arizona,hispanic,23360.051140533
2031,projected,Arizona,hispanic,24136.843449341282
2000,actual,Arizona,white,28149.69114
2001,actual,Arizona,white,28640
