ticker,3/19/18,3/26/18,4/2/18,4/9/18,4/16/18,4/23/18,4/30/18,5/7/18,5/14/18,5/21/18,5/28/18,6/4/18,6/11/18,6/18/18,6/25/18,7/2/18,7/9/18,7/16/18,7/23/18,7/30/18,8/6/18,8/13/18,8/20/18,8/27/18,9/3/18,9/10/18,9/17/18,9/24/18,10/1/18,10/8/18,10/15/18,10/22/18,10/29/18,11/5/18,11/12/18,11/19/18,11/26/18,12/3/18,12/10/18,12/17/18,12/24/18,12/31/18,1/7/19,1/14/19,1/21/19,1/28/19,2/4/19,2/11/19,2/18/19,2/25/19,3/4/19,3/11/19,3/18/19,3/22/19
CAT,140.882263,143.899292,139.612961,146.681976,149.630646,142.013535,143.63269,151.963928,152.798019,152.935394,150.648972,152.415329,147.214432,137.322937,133.132782,132.87767,138.117798,134.261292,140.751694,136.753067,134.195908,137.57254,136.456879,137.08876,139.52742,143.062012,154.396393,150.55574,151.365326,140.267914,129.654282,114.314583,124.985931,126.09877,129.129272,121.538109,134.802765,122.760246,125.959663,119.30249,124.807076,127.330833,131.2556,135.726837,136.860001,130.910004,128.600006,136.199997,138.679993,137.470001,131.350006,132.669998,129.770004,129.770004
GM,33.796062,34.920357,36.208008,37.216988,36.140743,36.17918,35.275898,35.448872,36.313709,36.803787,41.512367,42.521347,42.562801,39.984413,38.191177,37.958534,38.152401,38.191177,36.378544,36.572411,35.467384,35.263828,34.847023,34.943951,32.869614,33.932911,34.60902,32.992229,33.433174,31.150078,30.571953,31.992767,35.304726,34.981369,35.030365,35.206741,37.186077,33.991699,34.755081,32.655914,33.586678,33.002476,36.814644,38.230591,38.260296,38.398918,38.319706,38.705875,39.597031,39.141548,37.616684,38.07,36.439999,36.439999
HD,167.712692,173.999481,170.299652,168.688904,172.798737,182.023911,180.62793,185.782303,182.96106,182.404617,182.892746,194.695496,196.86499,193.792358,191.524689,190.916031,195.048904,198.73999,193.527298,192.054779,192.702698,191.976242,197.611069,197.090775,203.488464,206.29071,209.566574,204.396225,193.769409,189.911377,177.459152,169.940445,177.538071,183.517532,174.666779,166.605377,177.922897,171.512848,171.016541,159.293839,168.961853,172.336716,178.083923,178.25267,179.066605,183.007248,183.175995,190.967987,190.967987,183.801346,179.890457,180.883072,188.75,188.75
